KIDS,PERINSCQ,FDHOMECQ,UTILCQ
0.0,280.25,151.6667,257.0
0.0,0.0,216.6667,90.0
0.0,255.0,173.3333,228.3333
0.0,5000.0,650.0,314.0
0.0,0.0,281.6667,185.0
0.0,787.6667,433.3333,214.0
1.0,11.9167,173.3333,120.0
0.0,463.6667,606.6667,544.0
0.0,228.3833,52.0,163.0
1.0,464.0,667.3333,458.0
0.0,280.6667,325.0,360.0
0.0,165.1333,216.6667,210.0
0.0,0.0,86.6667,103.6667
0.0,1870.0834,623.3333,1221.0
1.0,25.5,0.0,430.0
0.0,960.9167,1109.6667,80.0
1.0,771.4167,866.6667,1046.0
1.0,65.25,650.0,313.0
0.0,503.3333,329.3333,351.0
0.0,196.1833,244.3333,162.0
1.0,699.1667,325.0,587.0
1.0,884.8142,1083.3333,394.6667
1.0,892.5,650.0,460.0
0.0,535.5,628.3333,485.0
0.0,1653.75,550.3333,278.0
0.0,616.8,455.0,797.0
0.0,197.6667,693.3333,141.0
1.0,0.0,433.3333,281.0
1.0,181.5,216.6667,480.0
0.0,0.0,953.3333,971.0
1.0,367.1667,325.0,256.0
0.0,140.8333,151.6667,188.0
0.0,31.9167,233.3333,13.3333
0.0,0.0,433.3333,606.0
1.0,95.6667,216.6667,619.0
0.0,0.0,190.6667,229.0
1.0,589.8333,563.3333,630.0
0.0,0.0,244.3333,89.0
0.0,706.0,216.6667,190.0
0.0,150.95,281.6667,223.0
0.0,884.8142,195.0,503.0
0.0,278.5667,476.6667,515.0
0.0,218.2,173.3333,264.0
0.0,1089.5,866.6667,774.0
0.0,0.0,173.3333,92.0
0.0,0.0,433.3333,325.0
0.0,0.0,225.3333,103.0
0.0,0.0,130.0,110.0
1.0,2733.6667,671.6667,352.0
0.0,6329.3894,346.6667,313.0
0.0,0.0,78.0,4.0
0.0,74.6667,498.3333,349.0
0.0,0.0,377.0,103.0
0.0,375.35,368.3333,205.0
1.0,354.9167,563.6667,330.0
1.0,1215.8333,325.0,682.0
1.0,397.4667,650.0,135.0
1.0,159.3667,195.0,80.0
